Valueset OID,Code,Display,Code System OID,Status,Date,FHIR ValueSet Identifier,FHIR Code System URI
,109001,Digital timecode (NOS),,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,109002,"ECG-based gating signal, processed",,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,109003,IRIG-B timecode,,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,109004,X-Ray Fluoroscopy On Signal,,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,109005,X-Ray On Trigger,,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,109006,Differential signal,,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,109007,His bundle electrogram,,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,109008,Monopole signal,,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,109009,"Pacing (electrical) stimulus, voltage",,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,109010,"Radio frequency ablation, power",,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,109011,Voltage measurement by basket catheter,,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,109012,Voltage measurement by mapping catheter,,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,109013,"Voltage measurement, NOS",,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,109014,35% of thermal CO,,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,109015,70% of thermal CO,,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,109016,A wave peak pressure,,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,109017,"A wave pressure, average",,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,109018,Beat detected (accepted),,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,109019,Beat detected (rejected),,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
